Advanced;Zaawansowany
Behavior;Zachowanie
Challenge;Wyzwanie
Decision;Decyzja
Effort;Wysiłek
Flexible;Elastyczny
Grateful;Wdzięczny
Hesitate;Wahać się
Independent;Niezależny
Journey;Podróż
Knowledge;Wiedza
Limit;Ograniczenie
Motivate;Motywować
Neglect;Zaniedbywać
Opportunity;Okazja
Persevere;Wytrwać
Qualify;Kwalifikować się
Responsible;Odpowiedzialny
Satisfaction;Satysfakcja
Technique;Technika
Understand;Rozumieć
Variety;Różnorodność
Wisdom;Mądrość
Achieve;Osiągnąć
Beneficial;Korzystny
Communicate;Komunikować się
Determine;Określić
Evaluate;Oceniać
Fulfill;Spełnić
Generate;Generować
Hesitation;Wahanie
Implementation;Wdrożenie
Justify;Uzasadniać
Knowledgeable;Dobrze poinformowany
Logical;Logiczny
Necessary;Konieczny
Opportunity;Okazja
Potential;Potencjał
Qualification;Kwalifikacja
Resourceful;Pomysłowy
Satisfactory;Zadowalający
Transformation;Transformacja
Unanimous;Jednomyślny
Valuable;Wartościowy
Well-being;Dobre samopoczucie
Accomplish;Osiągnąć
Beneficiary;Beneficjent
Comprehensive;Całościowy
Diversify;Diversyfikować
Exceptional;Wyjątkowy
