Hello;Cześć
Goodbye;Do widzenia
Please;Proszę
Thank you;Dziękuję
Yes;Tak
No;Nie
Hi;Witaj
Bye;Pa
Excuse me;Przepraszam
Sorry;Przepraszam
I;Ja
You;Ty
He;On
She;Ona
It;To
We;My
They;Oni
What;Co
Where;Gdzie
When;Kiedy
Why;Dlaczego
Who;Kto
How;Jak
Name;Imię
Age;Wiek
Family;Rodzina
Friend;Przyjaciel
House;Dom
Cat;Kot
Dog;Pies
Food;Jedzenie
Water;Woda
Drink;Pić
Eat;Jeść
Apple;Jabłko
Banana;Banan
Bread;Chleb
Milk;Mleko
Juice;Sok
Good;Dobry
Bad;Zły
Big;Duży
Small;Mały
Happy;Szczęśliwy
Sad;Smutny
Nice;Miły
Funny;Śmieszny
Red;Czerwony
Green;Zielony
Blue;Niebieski
