Hello! I am happy.;Cześć! Jestem szczęśliwy/szczęśliwa.
Goodbye! She is sad.;Do widzenia! Ona jest smutna.
Please, give me some water.;Proszę, daj mi trochę wody.
Thank you for the food.;Dziękuję za jedzenie.
Yes, I like apples.;Tak, lubię jabłka.
No, I don't want bananas.;Nie, nie chcę bananów.
Hi! We are friends.;Cześć! Jesteśmy przyjaciółmi.
Bye, see you at the house.;Cześć, do zobaczenia w domu.
Excuse me, where is the cat?;Przepraszam, gdzie jest kot?
Sorry, I can't find my dog.;Przepraszam, nie mogę znaleźć mojego psa.
I have a big family.;Mam dużą rodzinę.
You have a small house.;Masz mały dom.
He is a nice friend.;On jest miłym przyjacielem.
She has a funny dog.;Ona ma zabawnego psa.
It is a red apple.;To jest czerwone jabłko.
We drink milk and juice.;Pijemy mleko i sok.
They eat bread and bananas.;Oni jedzą chleb i banany.
What is your name?;Jak masz na imię?
Where is the dog's food?;Gdzie jest jedzenie dla psa?
When do you eat breakfast?;Kiedy jesz śniadanie?
